Station Name,Venue Name,Distance,Primary Category
Simmering S U,Ciğköftem,230,Vegan and Vegetarian Restaurant
Simmering S U,Zum Brüderlein,245,Dining and Drinking
Simmering S U,Yengari,263,Turkish Restaurant
Westbahnhof S U,Noodle-Rice-Sushi,17,Asian Restaurant
Westbahnhof S U,Türkis,37,Turkish Restaurant
Westbahnhof S U,Caffetteria PASCUCCI,41,Café
Westbahnhof S U,Dunkin',42,Donut Shop
Westbahnhof S U,Ströck,44,Bakery
Westbahnhof S U,Wenninger Bäckerei-Konditorei,44,Bakery
Westbahnhof S U,Ströck Fast&Pure,44,Snack Place
Westbahnhof S U,Nordsee,45,Seafood Restaurant
Westbahnhof S U,COCOS einfach asiatisch,46,Asian Restaurant
Westbahnhof S U,McDonald's,47,Burger Joint
Gymnasiumstraße,Tisch19,25,Dining and Drinking
Gymnasiumstraße,Yuuka,56,Asian Restaurant
Gymnasiumstraße,Madlik,62,Café
Gymnasiumstraße,Mankan Schnitzel & Grillhaus,63,Fried Chicken Joint
Gymnasiumstraße,Café-Bäckerei Linsbichler,84,Bakery
Gymnasiumstraße,"Cafe Bidl, Vienna",84,Café
Gymnasiumstraße,Clubraum Wc,94,Snack Place
Gymnasiumstraße,The Pie Factory,102,Café
Gymnasiumstraße,Mozart & Meisl,125,Lounge
Gymnasiumstraße,3 Mal 3,192,Gastropub
Floridsdorf S U,Ströck Floridsdorf,80,Bakery
Floridsdorf S U,Anker Bahnhof Floridsdorf,108,Bakery
Floridsdorf S U,Café Lounge Jonas,116,Dining and Drinking
Floridsdorf S U,Trünkel Wiener Wurstspezialitäten,117,Dining and Drinking
Floridsdorf S U,Pizza & Grill,138,Pizzeria
Floridsdorf S U,Xxl Burger,141,Burger Joint
Floridsdorf S U,Treffpunkt,151,Turkish Restaurant
Floridsdorf S U,Tschibo,158,Café
Floridsdorf S U,Pizza Uno,165,Pizzeria
Floridsdorf S U,Cafe Klim Bim,166,Bistro
Großfeldsiedlung U1,Nefis kebap,48,Doner Restaurant
Großfeldsiedlung U1,Noodle King,73,Asian Restaurant
Großfeldsiedlung U1,Ströck,92,Bakery
Großfeldsiedlung U1,Segafredo,108,Café
Großfeldsiedlung U1,Segafredo Eiscafe,118,Café
Großfeldsiedlung U1,La Stella,411,Pizzeria
Siemensstraße S,Zwick'l,106,Gastropub
Siemensstraße S,Restaurant Emerich & Söhne,216,Dining and Drinking
Siemensstraße S,SiemensCity Eurest,368,Dining and Drinking
Siemensstraße S,Lake Side,375,Dining and Drinking
Aspernstraße U2,Aspern Imbiss,16,Falafel Restaurant
Aspernstraße U2,Segafredo Aspern,59,Café
Aspernstraße U2,Thai Lanna,59,Thai Restaurant
Aspernstraße U2,Afiyet - Premium Kebap & Veggie,66,Doner Restaurant
Aspernstraße U2,Ginza Point,74,Asian Restaurant
Aspernstraße U2,Noodle King,95,Noodle Restaurant
Donauspital U2,Ströck,101,Bakery
