Station Name,Venue Name,Distance,Ratings,Review Count,Primary Category
Puchsbaumgasse,Anker,131.34147153995994,4.0,4,Bakeries
Puchsbaumgasse,Magdas Kantine,90.66279475294354,2.0,1,Canteen
Puchsbaumgasse,Gasthaus Elisabeth Vukics,175.67753612288064,3.0,1,Tobacco Shops
Puchsbaumgasse,Restaurant-Pizzeria Stefan,318.64838475931725,3.0,1,Wine Bars
Puchsbaumgasse,Mama's African Grill-Bar,426.8392427218528,4.0,4,African
Puchsbaumgasse,Weinhaus Aellig,341.6679764597448,3.0,1,Wine Bars
Puchsbaumgasse,Alma Grill,425.2189690713375,5.0,1,Restaurants
Puchsbaumgasse,Pizzeria Tomato,318.2860545445134,3.5,3,Pizza
Puchsbaumgasse,Cafe Angels,451.38584627206137,3.0,1,Cafes
Enkplatz U3,Pizzeria Piccolina,119.75813749047022,3.5,2,Pizza
Enkplatz U3,Simmeringer Landbier,320.5415979866847,4.0,5,Restaurants
Enkplatz U3,Cafe Central,288.39505268858096,4.0,5,Cafes
Enkplatz U3,Back Huth,167.75349385793825,5.0,2,Bakeries
Enkplatz U3,Merkur Restaurant,233.0263094183589,4.0,4,Austrian
Enkplatz U3,Weinhaus Hochmayer,416.2143471976793,4.0,5,Wine Bars
Enkplatz U3,McDonald's,377.4764936234263,4.0,1,Fast Food
Enkplatz U3,DaDa kocht,554.5917571907911,3.0,5,Japanese
Enkplatz U3,Lucky Star,265.13926512726545,3.5,2,Sushi Bars
Enkplatz U3,Herderpark,404.12983162443476,4.0,3,Parks
Enkplatz U3,Sahane Lahmacun & Burger,221.47397538827013,5.0,1,Kebab
Enkplatz U3,Diwan,629.7739642498696,5.0,3,Bakeries
Enkplatz U3,Auszeitstüberl,390.4702790782089,2.5,2,Austrian
Enkplatz U3,Nordsee,294.60377295978986,1.0,1,Fishmonger
Enkplatz U3,Kocak Backshop,538.4179577785541,5.0,1,Bakeries
Enkplatz U3,Cigköftem,513.7802945373988,4.0,1,Turkish
Enkplatz U3,Valcak Eissalon,323.4160851405809,4.5,2,Ice Cream & Frozen Yogurt
Enkplatz U3,Alt Simmeringer Bräu,647.4910915366528,2.0,2,Beer Garden
Enkplatz U3,Pizzeria Vittoria,332.83565650837124,2.0,3,Pizza
Enkplatz U3,Da Casa Mama,531.758382615592,4.0,1,Food Delivery Services
Gasometer U3,Bierometer,244.68683814106276,4.0,10,Gastropubs
Gasometer U3,Restaurant Cenaro,138.06611588634857,3.0,7,Bistros
Gasometer U3,Marx,425.1711137646304,4.0,8,Lounges
Gasometer U3,Ginza Running Sushi,208.03064211848266,4.0,5,Sushi Bars
Gasometer U3,Nudelhaus,208.03064211848266,4.0,1,Chinese
Gasometer U3,Gimlet,248.19724728600207,5.0,1,Bars
Gasometer U3,Würstelmausi,178.45936937232193,4.5,2,Food
Gasometer U3,Walk of Stars,149.78290514586365,3.0,2,Landmarks & Historical Buildings
Gasometer U3,"Ginza -, Köstliches am laufenden Band",250.74904031429932,5.0,1,Japanese
Gasometer U3,Arena Beisl,431.3995310530614,4.5,2,Dive Bars
Gasometer U3,Dussmann's Bistro,174.0644050474122,3.0,1,Bistros
Gasometer U3,Don Antonio,208.03064211848266,4.0,1,Pizza
Gasometer U3,Gaswerk Simmering,338.7082258539777,5.0,1,Landmarks & Historical Buildings
Gasometer U3,Hyblerpark,564.0814553355157,4.5,2,Parks
Geiselbergstraße S,Simmeringer Bier-Gartl,43.651994762090965,4.0,2,Pubs
Geiselbergstraße S,42 Cafe,169.8606919640271,5.0,2,Cafes
Geiselbergstraße S,Simmeringer Landbier,540.5986287211406,4.0,5,Restaurants
Geiselbergstraße S,Cafe Central,537.8726604634263,4.0,5,Cafes
Geiselbergstraße S,CCC Concord Card Casino,483.6250334448534,4.0,1,Casinos
Geiselbergstraße S,11. Wiener Gemeindebezirk,495.5381577557443,3.5,6,Local Flavor
Geiselbergstraße S,Herderpark,420.4330758452618,4.0,3,Parks
Geiselbergstraße S,Pizzeria Piccolina,555.9643981222621,3.5,2,Pizza
Geiselbergstraße S,Valcak Eissalon,519.5236470611643,4.5,2,Ice Cream & Frozen Yogurt
Geiselbergstraße S,Sahane Lahmacun & Burger,505.7162611320565,5.0,1,Kebab
Geiselbergstraße S,Beta Lounge,369.6873124877217,2.5,2,Austrian
Geiselbergstraße S,Grisu,520.8571881184687,4.0,1,Austrian
Geiselbergstraße S,Grassi & Rigotti,542.6378645067631,4.0,2,Ice Cream & Frozen Yogurt
Simmering S U,Gasthaus Stern,319.03831710647086,4.5,32,Austrian
Simmering S U,Café Frog Cocktailbar,74.43866613341177,5.0,1,Cafes
Simmering S U,Shanghai City,166.49564593177604,3.0,6,Chinese
Simmering S U,Gelateria Riva Wind's Zanetti,54.23504940498384,3.5,3,Ice Cream & Frozen Yogurt
Simmering S U,Gaststätte Pistauer Ramsauer Christian e.U.,410.5678975666343,3.0,13,Austrian
Simmering S U,Simmeringer Bier- und Kulturschmankerl,290.3467635553247,4.0,3,Beer Garden
Simmering S U,Pizza Bella,158.66417535734777,5.0,1,Turkish
Simmering S U,Asia Restaurant,263.6384675395057,3.5,5,Chinese
Simmering S U,McDonald's,558.0712519331636,4.0,1,Fast Food
Simmering S U,Diwan,296.11426147184596,5.0,3,Bakeries
Simmering S U,Pizzeria Al Caponne,297.61281092123033,5.0,1,Pizza
Simmering S U,Alt Simmeringer Bräu,283.9704244740291,2.0,2,Beer Garden
Simmering S U,Perla Pizzeria,385.1825488656797,5.0,1,Pizza
Simmering S U,Samran Thai,383.70374696869203,5.0,2,Thai
Simmering S U,Cigköftem,417.68744320444085,4.0,1,Turkish
Simmering S U,cc Deluxe,489.3682141563814,4.0,2,Local Flavor
Simmering S U,Josef Albrecht,477.393046268713,3.0,2,Bakeries
Simmering S U,Vittoria GastronomiebetriebsgmbH,625.7799190358662,5.0,1,Pizza
Simmering S U,Pizzeria Vittoria,607.1392773284634,2.0,3,Pizza
Simmering S U,Caffetteria - Segafredo,523.6002127085914,3.5,2,Restaurants
Westbahnhof S U,Vapiano,81.89993141786883,3.5,42,Italian
Westbahnhof S U,Aroi Thai,470.29104448921504,4.5,27,Thai
Westbahnhof S U,Le Burger,311.2868077751795,3.5,37,Burgers
Westbahnhof S U,Café Westend,135.126876430641,3.0,68,Cafes
Westbahnhof S U,Schillinger's Swing Kitchen,392.07041740854555,4.5,52,Vegan
Westbahnhof S U,freiraum,317.29759967461655,3.5,139,Cafes
Westbahnhof S U,Burgerista,73.25055129393931,3.5,8,Burgers
Westbahnhof S U,tata,501.5154675911405,4.5,18,Vietnamese
Westbahnhof S U,Restaurant Mythos,423.40847484286866,4.0,30,Greek
Westbahnhof S U,EBI 7,341.2531714030236,4.0,26,Japanese
Westbahnhof S U,Mariahilferbräu,447.19830360379706,3.5,47,Austrian
Westbahnhof S U,Känguruh,397.58295004168116,4.5,32,Beer Bar
Westbahnhof S U,Xus Cooking,515.9902383113848,4.0,43,Vegan
Westbahnhof S U,Schnellimbiß Europaplatz,41.264849620949235,4.0,5,Food Stands
Westbahnhof S U,Yummy Cooking,284.87305059257494,5.0,14,Asian Fusion
Westbahnhof S U,Mozart's,379.5406355301919,4.5,12,Gastropubs
Westbahnhof S U,Restaurant Mill,441.8579879120418,4.0,36,Austrian
Westbahnhof S U,Cocos,80.52338133542324,3.0,6,Pan Asian
Westbahnhof S U,McDonald's,61.90707592080683,4.0,2,Burgers
Westbahnhof S U,Fat Monk,77.86552891171296,3.5,5,Delis
Gymnasiumstraße,Fischerbräu,254.21889082808798,4.0,34,Austrian
Gymnasiumstraße,Mozart & Meisl,117.04517507947497,4.0,8,Austrian
Gymnasiumstraße,Teka-Sushi,363.11927971418464,4.5,14,Sushi Bars
Gymnasiumstraße,Slubar,67.46832603856653,4.0,4,Bars
Gymnasiumstraße,Pizza Sisi,62.85671566717716,4.0,2,Pizza
Gymnasiumstraße,Würstelstand Leo,654.9843387491214,4.0,20,Curry Sausage
Gymnasiumstraße,Rancho Alegre,79.37952244182634,5.0,1,Spanish
Gymnasiumstraße,Pizzeria Farouati,209.88559873697,4.0,6,Italian
Gymnasiumstraße,Yuuka Sushi,62.85671566717716,4.0,4,Asian Fusion
Gymnasiumstraße,Jasmin al Sham,664.3950586837066,4.5,8,Arabic
Gymnasiumstraße,Die Perlen Asiens,101.58965224215352,4.5,5,Jewelry
