Station Name,Slots,Latitude,Longitude,Venue Name,Distance,Ratings,Review Count,Source,Primary Category
Erdberg U3,36,48.190465,16.415318,Gasthaus Schmitzberger,359.3059382688792,4.0,12,Yelp,Gastropubs
Erdberg U3,36,48.190465,16.415318,Peccino,29.871439675648933,3.0,1,Yelp,Italian
Erdberg U3,36,48.190465,16.415318,GUSTO,361.76315962363606,5.0,1,Yelp,Bistros
Erdberg U3,36,48.190465,16.415318,Arena Beisl,346.45853010701546,4.5,2,Yelp,Dive Bars
Erdberg U3,36,48.190465,16.415318,Siegfried Scherleithner,215.3794464810161,2.0,1,Yelp,Bakeries
Erdberg U3,36,48.190465,16.415318,"Pizzeria Restaurant Peccino-, El Pasha",215.3794464810161,2.0,2,Yelp,Pizza
Erdberg U3,36,48.190465,16.415318,Yellow Deli,395.3985293289285,5.0,1,Yelp,Thai
Erdberg U3,36,48.190465,16.415318,Dussmann's Bistro,498.3220290278504,3.0,1,Yelp,Bistros
Erdberg U3,36,48.190465,16.415318,Anker,63.0,,,FourSquare,Bakery
Erdberg U3,36,48.190465,16.415318,Pizzeria Peccino,76.0,,,FourSquare,Pizzeria
Erdberg U3,36,48.190465,16.415318,Barney's Busstop,103.0,,,FourSquare,Deli
Erdberg U3,36,48.190465,16.415318,Sorbas Kebab,218.0,,,FourSquare,Diner
Erdberg U3,36,48.190465,16.415318,Kent/Restaurant/Viyana,234.0,,,FourSquare,Kebab Restaurant
Erdberg U3,36,48.190465,16.415318,Creperie La Crepette,324.0,,,FourSquare,Food and Beverage Retail
Erdberg U3,36,48.190465,16.415318,Gastwirtschaft Schmitzberger,345.0,,,FourSquare,Dining and Drinking
Erdberg U3,36,48.190465,16.415318,Blossom,396.0,,,FourSquare,Asian Restaurant
Erdberg U3,36,48.190465,16.415318,Yellow-Deli,413.0,,,FourSquare,Asian Restaurant
Erdberg U3,36,48.190465,16.415318,Gusto,416.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,Marx Restauration,33.6071790469112,3.5,5,Yelp,Austrian
Media Quarter Marx,24,48.188763,16.404503,O'Connor's,330.5953172181415,4.0,33,Yelp,Irish Pub
Media Quarter Marx,24,48.188763,16.404503,East End,50.22919682177582,3.5,4,Yelp,International
Media Quarter Marx,24,48.188763,16.404503,Willkommen Österreich,38.67686119583375,3.5,4,Yelp,Local Flavor
Media Quarter Marx,24,48.188763,16.404503,The Nice Guys,73.43192743545158,2.0,1,Yelp,Bars
Media Quarter Marx,24,48.188763,16.404503,Gasthaus Schmitzberger,477.22651434844886,4.0,12,Yelp,Gastropubs
Media Quarter Marx,24,48.188763,16.404503,T-Lunch,282.58993293866104,4.0,2,Yelp,Canteen
Media Quarter Marx,24,48.188763,16.404503,Restaurant Peter & Paul Deli & Bistro,5.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,Leckerei,13.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,Denklaufwerk,25.0,,,FourSquare,Hot Dog Joint
Media Quarter Marx,24,48.188763,16.404503,MARX Restauration GmbH,31.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,The Nice Guys,54.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,Anker Viehmarktgasse,67.0,,,FourSquare,Bakery
Media Quarter Marx,24,48.188763,16.404503,Vib Imbiss,91.0,,,FourSquare,Food Truck
Media Quarter Marx,24,48.188763,16.404503,T-Lunch,255.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,HTM Kebap,271.0,,,FourSquare,Dining and Drinking
Media Quarter Marx,24,48.188763,16.404503,T-Centro,274.0,,,FourSquare,Italian Restaurant
Heumühlgasse,18,48.195304,16.363308,Zweitbester,19.602521702160622,4.0,35,Yelp,Breakfast & Brunch
Heumühlgasse,18,48.195304,16.363308,Taste of India,117.09277818329294,4.5,45,Yelp,Indian
Heumühlgasse,18,48.195304,16.363308,Aromat,130.18485621144757,4.5,20,Yelp,Creperies
Heumühlgasse,18,48.195304,16.363308,Sixta,306.6550421712837,5.0,38,Yelp,Austrian
Heumühlgasse,18,48.195304,16.363308,Vollpension,296.0999511749355,4.0,88,Yelp,Cafes
Heumühlgasse,18,48.195304,16.363308,Wieden Bräu - Gastronomie mit Pfiff,233.124729415788,3.5,44,Yelp,Breweries
Heumühlgasse,18,48.195304,16.363308,Der Hannes,167.73494664289902,4.5,23,Yelp,Bars
Heumühlgasse,18,48.195304,16.363308,Neni,298.4466308412389,3.5,122,Yelp,Middle Eastern
Heumühlgasse,18,48.195304,16.363308,Cafe Drechsler,353.46528528403985,4.0,48,Yelp,Cafes
Heumühlgasse,18,48.195304,16.363308,The Breakfast Club,281.65602901910125,4.5,100,Yelp,Breakfast & Brunch
Heumühlgasse,18,48.195304,16.363308,Waldviertlerhof,386.6913536070126,4.5,36,Yelp,Austrian
Heumühlgasse,18,48.195304,16.363308,Zum Alten Fassl,472.0547688413164,4.5,32,Yelp,Austrian
Heumühlgasse,18,48.195304,16.363308,Veganista,215.7848663487957,4.5,23,Yelp,Ice Cream & Frozen Yogurt
Heumühlgasse,18,48.195304,16.363308,Bamboo,215.7848663487957,3.5,37,Yelp,Chinese
Heumühlgasse,18,48.195304,16.363308,Santos,380.57483886369545,4.0,35,Yelp,Mexican
Heumühlgasse,18,48.195304,16.363308,Johnny's,242.41119875643815,4.0,32,Yelp,Irish Pub
Heumühlgasse,18,48.195304,16.363308,Deli,331.6190794460592,4.0,52,Yelp,Cafes
Heumühlgasse,18,48.195304,16.363308,Blueorange,265.426280253449,4.0,53,Yelp,Cafes
Heumühlgasse,18,48.195304,16.363308,Zweitbester,9.0,,,FourSquare,Cocktail Bar
Heumühlgasse,18,48.195304,16.363308,Donatella Restaurant,24.0,,,FourSquare,Italian Restaurant
Heumühlgasse,18,48.195304,16.363308,Cuba Cafe Dani,60.0,,,FourSquare,Bar
Heumühlgasse,18,48.195304,16.363308,Made In Sud,63.0,,,FourSquare,Italian Restaurant
Heumühlgasse,18,48.195304,16.363308,Guzzi,88.0,,,FourSquare,Dining and Drinking
Heumühlgasse,18,48.195304,16.363308,Taste of India,102.0,,,FourSquare,Indian Restaurant
Heumühlgasse,18,48.195304,16.363308,Caffe Bacco,124.0,,,FourSquare,Italian Restaurant
Heumühlgasse,18,48.195304,16.363308,Bacchus & Co,133.0,,,FourSquare,Italian Restaurant
Heumühlgasse,18,48.195304,16.363308,Aromat,146.0,,,FourSquare,Dining and Drinking
Heumühlgasse,18,48.195304,16.363308,Das Gugg - Café und Vereinszentrum der HOSI,146.0,,,FourSquare,Café
Margaretengürtel U4,30,48.188612,16.343977,Disco Volante,412.7281133905906,4.0,37,Yelp,Italian
Margaretengürtel U4,30,48.188612,16.343977,Thai Kitchen Restaurant,246.08036961461164,4.5,5,Yelp,Thai
Margaretengürtel U4,30,48.188612,16.343977,Xin Chao Vietnamese Cuisine,213.45487302283055,4.0,4,Yelp,Vietnamese
Margaretengürtel U4,30,48.188612,16.343977,Burger King,388.5019421607375,4.5,9,Yelp,Fast Food
Margaretengürtel U4,30,48.188612,16.343977,Der Mann,133.58050468733344,4.5,2,Yelp,Coffee & Tea
Margaretengürtel U4,30,48.188612,16.343977,Bruno-Kreisky-Park,68.9416822983891,3.5,7,Yelp,Parks
Margaretengürtel U4,30,48.188612,16.343977,Mobil WC,60.78743104676057,4.0,1,Yelp,Life Coach
Margaretengürtel U4,30,48.188612,16.343977,Donaudelta,469.62723331079445,4.0,8,Yelp,Restaurants
Margaretengürtel U4,30,48.188612,16.343977,Cafe Gschamster Diener,493.4182965891204,4.5,7,Yelp,Austrian
Margaretengürtel U4,30,48.188612,16.343977,Vespici veri,178.6364132265753,5.0,1,Yelp,Wine Bars
Margaretengürtel U4,30,48.188612,16.343977,Türkenkugelhaus,90.02693386050834,5.0,1,Yelp,Landmarks & Historical Buildings
Margaretengürtel U4,30,48.188612,16.343977,Pizza John,109.68499284997549,3.0,5,Yelp,Pizza
Margaretengürtel U4,30,48.188612,16.343977,Edo Sushi,494.0924583238445,4.5,12,Yelp,Chinese
Margaretengürtel U4,30,48.188612,16.343977,Johnpizza,131.0,,,FourSquare,Pizzeria
Margaretengürtel U4,30,48.188612,16.343977,Ali's,150.0,,,FourSquare,Café
Margaretengürtel U4,30,48.188612,16.343977,Frank's Gaststätte,176.0,,,FourSquare,Austrian Restaurant
Margaretengürtel U4,30,48.188612,16.343977,"Klein, aber fein",177.0,,,FourSquare,Austrian Restaurant
Margaretengürtel U4,30,48.188612,16.343977,Cafe City,181.0,,,FourSquare,Gastropub
Margaretengürtel U4,30,48.188612,16.343977,Auszeit,212.0,,,FourSquare,Kebab Restaurant
Margaretengürtel U4,30,48.188612,16.343977,Xin Chao Vietnamese Cuisine,219.0,,,FourSquare,Vietnamese Restaurant
Margaretengürtel U4,30,48.188612,16.343977,Chinarestaurant Zum Glück,236.0,,,FourSquare,Asian Restaurant
Margaretengürtel U4,30,48.188612,16.343977,Aend,247.0,,,FourSquare,Scandinavian Restaurant
Margaretengürtel U4,30,48.188612,16.343977,Miro's Cafe & Restaurant,257.0,,,FourSquare,Dining and Drinking
Mittersteig,23,48.189735,16.361331,Zum Alten Fassl,205.7825397094183,4.5,32,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Silberwirt,217.5400539790024,4.0,45,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Cuadro,256.9195361879523,4.0,50,Yelp,International
Mittersteig,23,48.189735,16.361331,Sixta,492.1900142297429,5.0,38,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Gergely's Essen zum Quadrat,248.6746266160941,4.5,15,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Waldviertlerhof,481.47186689692575,4.5,36,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Budapest Bistro,419.42282542764775,4.5,22,Yelp,Bistros
Mittersteig,23,48.189735,16.361331,Rudi's Beisl,317.60770099103786,4.5,27,Yelp,Beisl
Mittersteig,23,48.189735,16.361331,Trattoria Margareta,282.53834317911554,4.0,20,Yelp,Italian
Mittersteig,23,48.189735,16.361331,Motto,466.7055172585677,4.0,41,Yelp,Bars
Mittersteig,23,48.189735,16.361331,Seasons,84.17513119196092,4.5,2,Yelp,Bulgarian
Mittersteig,23,48.189735,16.361331,ON,439.5886830197389,4.0,34,Yelp,Chinese
Mittersteig,23,48.189735,16.361331,Werkzeug H,431.02517997149454,4.0,38,Yelp,Bars
Mittersteig,23,48.189735,16.361331,Veganista,441.0319758114417,4.5,23,Yelp,Ice Cream & Frozen Yogurt
Mittersteig,23,48.189735,16.361331,Bamboo,441.0319758114417,3.5,37,Yelp,Chinese
Mittersteig,23,48.189735,16.361331,Zum Stöger,482.4262858478022,4.5,14,Yelp,Austrian
Mittersteig,23,48.189735,16.361331,Mosquito Mexican Restaurant Cocktailbar,320.0077266260965,4.0,9,Yelp,Cocktail Bars
Mittersteig,23,48.189735,16.361331,Schlossquadrat,211.72191052224,4.0,11,Yelp,Pubs
Mittersteig,23,48.189735,16.361331,Schlupfwinkel,397.7195022290999,4.0,9,Yelp,Beisl
Mittersteig,23,48.189735,16.361331,La Fornace,90.0,,,FourSquare,Italian Restaurant
Mittersteig,23,48.189735,16.361331,Seasons,98.0,,,FourSquare,Eastern European Restaurant
Mittersteig,23,48.189735,16.361331,Lupo - Piadina Bar & Cafe,115.0,,,FourSquare,Bar
Mittersteig,23,48.189735,16.361331,The Velvet Room,143.0,,,FourSquare,Bar
Mittersteig,23,48.189735,16.361331,Pizzeria Efes,164.0,,,FourSquare,Pizzeria
Mittersteig,23,48.189735,16.361331,Tat Bäckerei,169.0,,,FourSquare,Bakery
